latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,sensor,brightness,bright_t31,province
-2.2129,115.49712,305.83,0.35,0.56,2026-01-14,1712,N,VIIRS,n,2.0,285.27,0.84,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-2.16704,115.57572,298.48,0.34,0.56,2026-01-14,1712,N,VIIRS,n,2.0,278.75,1.21,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
0.60299,109.34304,332.73,0.38,0.36,2026-01-14,611,N,VIIRS,n,2.0,298.91,2.27,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-1.89426,115.86938,304.94,0.33,0.55,2026-01-14,1712,N,VIIRS,n,2.0,286.66,1.68,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.89377,115.8664,326.35,0.33,0.55,2026-01-14,1712,N,VIIRS,n,2.0,286.93,1.68,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.89328,115.86345,305.68,0.33,0.55,2026-01-14,1712,N,VIIRS,n,2.0,286.72,1.37,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.88817,115.8643,307.7,0.33,0.55,2026-01-14,1712,N,VIIRS,n,2.0,286.71,1.37,N,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-2.6881,110.2837,,1.0,1.0,2026-01-14,751,Aqua,MODIS,0,61.03,,21.9,D,0,MODIS_SP,321.8,269.0,Kalimantan Barat
-0.2613,109.3121,,1.0,1.0,2026-01-14,752,Aqua,MODIS,40,61.03,,7.1,D,0,MODIS_SP,314.6,298.7,Kalimantan Barat
-0.26,109.3208,,1.0,1.0,2026-01-14,752,Aqua,MODIS,45,61.03,,5.5,D,0,MODIS_SP,312.6,298.4,Kalimantan Barat
0.3817,109.344,,1.0,1.0,2026-01-14,752,Aqua,MODIS,76,61.03,,12.9,D,0,MODIS_SP,320.5,294.0,Kalimantan Barat
-2.21341,115.50031,305.38,0.34,0.56,2026-01-14,1712,N,VIIRS,n,2.0,285.18,0.84,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
0.60216,109.44886,333.37,0.38,0.36,2026-01-14,611,N,VIIRS,n,2.0,294.82,5.2,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-3.76446,115.43421,329.94,0.39,0.44,2026-01-14,610,N,VIIRS,n,2.0,295.77,5.16,D,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
0.55806,109.2934,332.79,0.38,0.36,2026-01-14,611,N,VIIRS,n,2.0,298.09,2.99,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-2.51005,110.92171,331.69,0.39,0.36,2026-01-14,610,N,VIIRS,n,2.0,287.78,2.28,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.60242,111.35976,332.56,0.39,0.36,2026-01-14,610,N,VIIRS,n,2.0,292.74,2.41,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.68314,115.42194,332.85,0.4,0.44,2026-01-14,610,N,VIIRS,n,2.0,289.35,2.99,D,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-2.74354,112.33179,353.49,0.42,0.38,2026-01-14,610,N,VIIRS,n,2.0,278.53,9.25,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.74412,112.32803,343.98,0.42,0.38,2026-01-14,610,N,VIIRS,n,2.0,279.07,9.25,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.74641,112.3361,340.09,0.42,0.38,2026-01-14,610,N,VIIRS,n,2.0,274.35,4.51,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.2852,112.70874,331.18,0.44,0.38,2026-01-14,610,N,VIIRS,n,2.0,292.66,11.53,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.74699,112.33232,340.28,0.42,0.38,2026-01-14,610,N,VIIRS,n,2.0,296.93,69.34,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.74987,112.33662,330.84,0.42,0.38,2026-01-14,610,N,VIIRS,n,2.0,273.59,4.51,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.75045,112.33286,352.89,0.42,0.38,2026-01-14,610,N,VIIRS,n,2.0,276.84,69.34,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.8836,115.25735,333.25,0.39,0.44,2026-01-14,610,N,VIIRS,n,2.0,276.62,5.59,D,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-3.18144,115.95175,344.63,0.43,0.46,2026-01-14,610,N,VIIRS,n,2.0,283.36,13.73,D,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-3.25348,115.96146,329.02,0.42,0.46,2026-01-14,610,N,VIIRS,n,2.0,290.44,3.9,D,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-3.38936,115.891,342.24,0.42,0.45,2026-01-14,610,N,VIIRS,n,2.0,295.7,5.19,D,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
0.59967,109.34354,330.21,0.38,0.36,2026-01-14,611,N,VIIRS,n,2.0,299.36,2.27,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-2.28478,112.71326,337.55,0.44,0.38,2026-01-14,610,N,VIIRS,n,2.0,297.03,39.61,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.74757,112.32856,335.02,0.42,0.38,2026-01-14,610,N,VIIRS,n,2.0,282.73,69.34,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.22646,113.1043,336.8,0.45,0.39,2026-01-14,610,N,VIIRS,n,2.0,289.83,8.87,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.06714,112.16626,344.49,0.42,0.37,2026-01-14,611,N,VIIRS,n,2.0,295.18,12.83,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.99752,112.49828,344.14,0.43,0.38,2026-01-14,611,N,VIIRS,n,2.0,285.72,5.48,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.99328,111.26815,328.97,0.39,0.37,2026-01-14,611,N,VIIRS,l,2.0,301.32,1.51,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.94559,112.07825,344.92,0.42,0.37,2026-01-14,611,N,VIIRS,n,2.0,290.61,10.22,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.82413,111.38762,336.28,0.4,0.37,2026-01-14,611,N,VIIRS,n,2.0,297.92,4.01,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.73527,112.77247,334.25,0.44,0.39,2026-01-14,611,N,VIIRS,n,2.0,289.98,4.03,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.73468,112.77139,333.91,0.44,0.39,2026-01-14,611,N,VIIRS,n,2.0,290.57,3.33,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.02082,112.50972,338.04,0.43,0.38,2026-01-14,611,N,VIIRS,n,2.0,287.59,5.39,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
0.32297,109.70403,333.54,0.38,0.36,2026-01-14,611,N,VIIRS,n,2.0,297.42,5.65,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-2.22865,113.10554,346.34,0.45,0.39,2026-01-14,610,N,VIIRS,n,2.0,289.91,9.28,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.68195,112.46275,335.68,0.43,0.38,2026-01-14,611,N,VIIRS,n,2.0,290.68,4.76,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.50105,112.7004,335.19,0.44,0.39,2026-01-14,611,N,VIIRS,n,2.0,282.75,4.2,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.48713,113.35039,334.52,0.47,0.4,2026-01-14,611,N,VIIRS,n,2.0,291.4,7.07,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.96943,119.39641,344.19,0.38,0.59,2026-01-14,610,N,VIIRS,n,2.0,278.8,6.02,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
-2.07662,112.61356,334.82,0.43,0.38,2026-01-14,611,N,VIIRS,n,2.0,289.44,1.9,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.17305,110.47378,329.55,0.38,0.36,2026-01-14,611,N,VIIRS,n,2.0,295.15,2.83,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-1.89159,115.8617,303.14,0.59,0.7,2026-01-15,1833,N,VIIRS,n,2.0,270.81,2.95,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.89234,115.85612,297.55,0.59,0.7,2026-01-15,1833,N,VIIRS,n,2.0,274.82,1.83,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.89321,115.8617,296.0,0.59,0.7,2026-01-15,1833,N,VIIRS,n,2.0,269.25,1.83,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-0.5108,117.28719,302.13,0.58,0.7,2026-01-15,1653,N,VIIRS,n,2.0,284.91,1.62,N,0,VIIRS_SNPP_SP,,,Kalimantan Timur
-1.8883,115.8703,,1.2,1.1,2026-01-15,1912,Aqua,MODIS,80,61.03,,12.3,N,2,MODIS_SP,310.6,291.7,Kalimantan Selatan
3.97358,117.25257,329.42,0.5,0.41,2026-01-15,553,N,VIIRS,n,2.0,293.69,8.11,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
3.72208,117.35034,331.91,0.5,0.41,2026-01-15,553,N,VIIRS,n,2.0,295.19,3.95,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
3.71884,117.3518,337.84,0.5,0.41,2026-01-15,553,N,VIIRS,n,2.0,295.19,5.1,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
3.58452,116.9898,329.16,0.48,0.4,2026-01-15,553,N,VIIRS,n,2.0,295.07,2.54,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
3.58084,116.99031,338.5,0.48,0.4,2026-01-15,553,N,VIIRS,n,2.0,297.44,10.3,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
-0.18734,109.4079,303.24,0.41,0.45,2026-01-15,1833,N,VIIRS,n,2.0,289.93,0.79,N,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-0.16349,109.31001,319.61,0.4,0.45,2026-01-15,1833,N,VIIRS,n,2.0,290.96,2.0,N,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-2.99751,115.20161,311.48,0.56,0.69,2026-01-15,1834,N,VIIRS,n,2.0,284.36,1.95,N,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-0.15938,109.31068,321.39,0.4,0.45,2026-01-15,1833,N,VIIRS,n,2.0,292.09,2.0,N,0,VIIRS_SNPP_SP,,,Kalimantan Barat
